file_name	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	n_reads	comment
"31_MP1_59_euk_S31_L001_R{1,2}_001.fastq.gz"	Jan_B08_0500	Jan_B08_0500_3_180	3	180	niskin	25.04	1.88	2.29		
"32_MP1_31_euk_S32_L001_R{1,2}_001.fastq.gz"	Jan_B08_1000	Jan_B08_1000_0.4_3	0.4	3	niskin	6.73	1.77	-8.52		
"27_MP1_15_euk_S27_L001_R{1,2}_001.fastq.gz"	Jan_B16_0001	Jan_B16_0001_0.4_3	0.4	3	niskin	21.31	1.71	3.67		
"28_MP1_47_euk_S28_L001_R{1,2}_001.fastq.gz"	Jan_B16_0001	Jan_B16_0001_3_180	3	180	niskin	30.52	1.76	2.69		
"29_MP1_3_euk_S29_L001_R{1,2}_001.fastq.gz"	Jan_B16_1000	Jan_B16_1000_0.4_3	0.4	3	niskin	7.77	1.49	5.29		
"33_MP2_4_euk_S33_L001_R{1,2}_001.fastq.gz"	Mar_M04_0001	Mar_M04_0001_0.4_3	0.4	3	niskin	39.77	1.77	2.2		
"34_MP2_17_euk_S34_L001_R{1,2}_001.fastq.gz"	Mar_M04_0020	Mar_M04_0020_0.4_3	0.4	3	niskin	35.65	1.6	1		
"35_MP3_NP_7_euk_S35_L001_R{1,2}_001.fastq.gz"	May_P01_0020	May_P01_0020_0.4_3	0.4	3	niskin	8.887	1.47	-3.4		
"36_MP3_NP_55_euk_S36_L001_R{1,2}_001.fastq.gz"	May_P03_0001	May_P03_0001_0.4_3	0.4	3	niskin	32.57	1.55	0.93		
"37_MP3_NP_87_euk_S37_L001_R{1,2}_001.fastq.gz"	May_P03_0015	May_P03_0015_0.4_3	0.4	3	niskin	24.71	1.73	3.69		
"38_MP3_NP_63_euk_S38_L001_R{1,2}_001.fastq.gz"	May_P03_0447	May_P03_0447_0.4_3	0.4	3	niskin	13.49	1.78	5.24		
"39_MP3_NP_118_euk_S39_L001_R{1,2}_001.fastq.gz"	May_P04_0001	May_P04_0001_0.4_3	0.4	3	niskin	27.47	1.93	4.43		
"40_MP3_NP_114_euk_S40_L001_R{1,2}_001.fastq.gz"	May_P04_0001	May_P04_0001_3_10	3	10	niskin	63.81	1.85	2.61		
"41_MP3_NP_111_euk_S41_L001_R{1,2}_001.fastq.gz"	May_P04_0500	May_P04_0500_0.4_3	0.4	3	niskin	4.964	0.96	-0.49		
"42_MP3_NP_107_euk_S42_L001_R{1,2}_001.fastq.gz"	May_P04_0500	May_P04_0500_3_10	3	10	niskin	16.86	1.64	8.39		
"43_MP3_NP_99_euk_S43_L001_R{1,2}_001.fastq.gz"	May_P04_1000	May_P04_1000_3_10	3	10	niskin	9.669	1.79	-1.77		
"55_MP5_MI_11_euk_S55_L001_R{1,2}_001.fastq.gz"	Nov_N02_0020	Nov_N02_0020_50_200	50	200	niskin	3.23	1.54	-1.13		
"57_MP5_NP_35_euk_S57_L001_R{1,2}_001.fastq.gz"	Nov_N03_0020	Nov_N03_0020_0.4_3	0.4	3	niskin	2.53	NA	NA		
"58_MP5_MI_18_euk_S58_L001_R{1,2}_001.fastq.gz"	Nov_N03_0020	Nov_N03_net_10_50	10	50	net	1.34	2.56	-0.41		
"56_MP5_MI_29_euk_S56_L001_R{1,2}_001.fastq.gz"	Nov_N03_0020	Nov_N03_0020_50_200	50	200	niskin	2.12	2.41	-0.4		
"67_MP5_NP_59_euk_S67_L001_R{1,2}_001.fastq.gz"	Nov_N04_0020	Nov_N04_0020_0.4_3	0.4	3	niskin	1.19	NA	NA		
"68_MP5_MI_36_euk_S68_L001_R{1,2}_001.fastq.gz"	Nov_N04_1000	Nov_N04_1000_10_50	10	50	niskin	2.27	1.27	-1.72		
"Jan_B08_0001_0.4_3_bc1_1_L1.{1,2}.fastq.gz"	Jan_B08_0001	Jan_B08_0001_0.4_3	0.4	3	niskin	8.6	1.51	3.28		
"Jan_B08_0001_3_180_bc2_2_L1.{1,2}.fastq.gz"	Jan_B08_0001	Jan_B08_0001_3_180	3	180	niskin	39.49	1.89	2.83		
"Jan_B08_0020_0.4_3_bc3_3_L1.{1,2}.fastq.gz"	Jan_B08_0020	Jan_B08_0020_0.4_3	0.4	3	niskin	49.83	1.82	2.83		
"Jan_B08_0020_3_180_bc4_4_L1.{1,2}.fastq.gz"	Jan_B08_0020	Jan_B08_0020_3_180	3	180	niskin	30.42	1.82	2.12		
"Jan_B08_0500_0.4_3_bc5_5_L1.{1,2}.fastq.gz"	Jan_B08_0500	Jan_B08_0500_0.4_3	0.4	3	niskin	63.86	1.83	2.88		
"Jan_B08_0500_3_180_bc7_6_L1.{1,2}.fastq.gz"	Jan_B08_0500	Jan_B08_0500_3_180	3	180	niskin	25.04	1.88	2.29		
"Jan_B08_1000_0.4_3_bc8_8_L1.{1,2}.fastq.gz"	Jan_B08_1000	Jan_B08_1000_0.4_3	0.4	3	niskin	6.73	1.77	-8.52		
"Jan_B08_1000_3_180_bc9_9_L1.{1,2}.fastq.gz"	Jan_B08_1000	Jan_B08_1000_3_180	3	180	niskin	12.07	1.53	1.53		
"Jan_B16_0001_0.4_3_bc10_11_L1.{1,2}.fastq.gz"	Jan_B16_0001	Jan_B16_0001_0.4_3	0.4	3	niskin	21.31	1.71	3.67		
"Jan_B16_0001_3_180_bc11_10_L1.{1,2}.fastq.gz"	Jan_B16_0001	Jan_B16_0001_3_180	3	180	niskin	30.52	1.76	2.69		
"Jan_B16_0020_0.4_3_bc12_12_L1.{1,2}.fastq.gz"	Jan_B16_0020	Jan_B16_0020_0.4_3	0.4	3	niskin	18.43	1.77	4.46		
"Jan_B16_0020_3_180_bc13_13_L1.{1,2}.fastq.gz"	Jan_B16_0020	Jan_B16_0020_3_180	3	180	niskin	31.78	1.9	3.18		
"Jan_B16_0500_0.4_3_bc14_14_L1.{1,2}.fastq.gz"	Jan_B16_0500	Jan_B16_0500_0.4_3	0.4	3	niskin	24.69	1.71	3.02		
"Jan_B16_0500_3_180_bc15_15_L1.{1,2}.fastq.gz"	Jan_B16_0500	Jan_B16_0500_3_180	3	180	niskin	8.14	1.75	7.91		
"Jan_B16_1000_0.4_3_bc16_16_L1.{1,2}.fastq.gz"	Jan_B16_1000	Jan_B16_1000_0.4_3	0.4	3	niskin	7.77	1.49	5.29		
"Mar_M02_0001_0.4_3_bc5_5_L2.{1,2}.fastq.gz"	Mar_M02_0001	Mar_M02_0001_0.4_3	0.4	3	niskin	16.59	1.63	1.19		
"Mar_M02_0001_3_180_bc7_7_L2.{1,2}.fastq.gz"	Mar_M02_0001	Mar_M02_0001_3_180	3	180	niskin	20.95	1.72	2.79		
"Mar_M02_0320_0.4_3_bc3_3_L2.{1,2}.fastq.gz"	Mar_M02_0320	Mar_M02_0320_0.4_3	0.4	3	niskin	11.45	1.52	1.52		
"Mar_M02_0320_3_180_bc4_4_L2.{1,2}.fastq.gz"	Mar_M02_0320	Mar_M02_0320_3_180	3	180	niskin	28.96	7.37	7.72		
"Mar_M02_1000_0.4_3_bc1_1_L2.{1,2}.fastq.gz"	Mar_M02_1000	Mar_M02_1000_0.4_3	0.4	3	niskin	3.43	1.41	-3.16		
"Mar_M02_1000_3_180_bc2_2_L2.{1,2}.fastq.gz"	Mar_M02_1000	Mar_M02_1000_3_180	3	180	niskin	6.03	1.38	4.42		
"Mar_M03_0001_0.4_3_bc8_8_L2.{1,2}.fastq.gz"	Mar_M03_0001	Mar_M03_0001_0.4_3	0.4	3	niskin	25.93	1.83	2.95		
"Mar_M03_0001_3_180_bc9_9_L2.{1,2}.fastq.gz"	Mar_M03_0001	Mar_M03_0001_3_180	3	180	niskin	13.18	1.85	3.55		
"Mar_M03_0020_0.4_3_bc10_10_L2.{1,2}.fastq.gz"	Mar_M03_0020	Mar_M03_0020_0.4_3	0.4	3	niskin	6.14	1.51	-5.15		
"Mar_M03_0020_3_180_bc11_11_L2.{1,2}.fastq.gz"	Mar_M03_0020	Mar_M03_0020_3_180	3	180	niskin	46.49	1.76	2.37		
"Mar_M04_0001_0.4_3_bc12_12_L2.{1,2}.fastq.gz"	Mar_M04_0001	Mar_M04_0001_0.4_3	0.4	3	niskin	39.77	1.77	2.2		
"Mar_M04_0001_3_180_bc13_13_L2.{1,2}.fastq.gz"	Mar_M04_0001	Mar_M04_0001_3_180	3	180	niskin	32.48	1.73	1.9		
"Mar_M04_0020_0.4_3_bc14_14_L2.{1,2}.fastq.gz"	Mar_M04_0020	Mar_M04_0020_0.4_3	0.4	3	niskin	35.65	1.6	1		
"Mar_M04_0020_3_180_bc15_15_L2.{1,2}.fastq.gz"	Mar_M04_0020	Mar_M04_0020_3_180	3	180	niskin	41.45	1.9	2.84		
"Mar_M05_0020_0.4_3_bc16_16_L2.{1,2}.fastq.gz"	Mar_M05_0020	Mar_M05_0020_0.4_3	0.4	3	niskin	32.17	1.73	1.67		
"Mar_M05_0120_0.4_3_bc18_18_L2.{1,2}.fastq.gz"	Mar_M05_0120	Mar_M05_0120_0.4_3	0.4	3	niskin	19.75	1.7	1.8		
"Mar_M05_0120_3_180_bc19_19_L2.{1,2}.fastq.gz"	Mar_M05_0120	Mar_M05_0120_3_180	3	180	niskin	56.03	1.86	1.98		
"Mar_M06_0020_0.4_3_bc20_6_L2.{1,2}.fastq.gz"	Mar_M06_0020	Mar_M06_0020_0.4_3	0.4	3	niskin	36.03	1.77	2.08		
"Mar_M06_0020_3_180_bc6_20_L2.{1,2}.fastq.gz"	Mar_M06_0020	Mar_M06_0020_3_180	3	180	niskin	19.38	1.43	1.26		
"May_P01_0001_0.4_3_bc1_1_L3.{1,2}.fastq.gz"	May_P01_0001	May_P01_0001_0.4_3	0.4	3	niskin	4.9	2.56	4.9		
"May_P01_0001_3_10_bc2_2_L3.{1,2}.fastq.gz"	May_P01_0001	May_P01_0001_3_10	3	10	niskin	35.61	1.84	4.05		
"May_P01_0001_10_50_bc3_3_L3.{1,2}.fastq.gz"	May_P01_0001	May_P01_0001_10_50	10	50	niskin	59	1.9	2.74		
"May_P01_0001_50_200_bc4_4_L3.{1,2}.fastq.gz"	May_P01_0001	May_P01_0001_50_200	50	200	niskin	86.37	1.94	2.67		
"May_P01_0020_0.4_3_bc5_5_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_0020_0.4_3	0.4	3	niskin	8.887	1.47	-3.4		
"May_P01_0020_3_10_bc6_7_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_0020_3_10	3	10	niskin	23.17	1.75	-11.89		
"May_P01_0020_10_50_bc7_6_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_0020_10_50	10	50	niskin	30.99	1.85	3.41		
"May_P01_net_10_50_bc9_9_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_net_10_50	10	50	net	21.31	1.87	2.21		
"May_P01_0020_50_200_bc8_8_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_0020_50_200	50	200	niskin	62.46	1.87	2.15		
"May_P01_net_50_200_bc10_11_L3.{1,2}.fastq.gz"	May_P01_0020	May_P01_net_50_200	50	200	net	137.4	1.91	2.06		
"May_P01_0417_0.4_3_bc11_10_L3.{1,2}.fastq.gz"	May_P01_0417	May_P01_0417_0.4_3	0.4	3	niskin	7.307	1.79	-3.06		
"May_P01_0417_3_10_bc12_12_L3.{1,2}.fastq.gz"	May_P01_0417	May_P01_0417_3_10	3	10	niskin	18.65	1.7	2.56		
"May_P01_0417_10_50_bc13_13_L3.{1,2}.fastq.gz"	May_P01_0417	May_P01_0417_10_50	10	50	niskin	9.453	1.96	1.46		
"May_P01_0417_50_200_bc14_14_L3.{1,2}.fastq.gz"	May_P01_0417	May_P01_0417_50_200	50	200	niskin	8.065	1.57	2.32		
"May_P03_0001_0.4_3_bc15_15_L3.{1,2}.fastq.gz"	May_P03_0001	May_P03_0001_0.4_3	0.4	3	niskin	32.57	1.55	0.93		
"May_P03_0001_3_10_bc16_16_L3.{1,2}.fastq.gz"	May_P03_0001	May_P03_0001_3_10	3	10	niskin	92.32	1.85	2.03		
"May_P03_0001_50_200_bc18_18_L3.{1,2}.fastq.gz"	May_P03_0001	May_P03_0001_50_200	50	200	niskin	11.14	1.8	12.19		
"May_P03_0015_0.4_3_bc19_19_L3.{1,2}.fastq.gz"	May_P03_0015	May_P03_0015_0.4_3	0.4	3	niskin	24.71	1.73	3.69		
"May_P03_0015_3_10_bc20_20_L3.{1,2}.fastq.gz"	May_P03_0015	May_P03_0015_3_10	3	10	niskin	68.71	1.97	2.84		
"May_P03_0015_10_50_bc1_1_L4.{1,2}.fastq.gz"	May_P03_0015	May_P03_0015_10_50	10	50	niskin	324.6	1.99	0.88		
"May_P03_net_10_50_bc3_3_L4.{1,2}.fastq.gz"	May_P03_0015	May_P03_net_10_50	10	50	net	13.2	1.95	2.24		
"May_P03_0015_50_200_bc2_2_L4.{1,2}.fastq.gz"	May_P03_0015	May_P03_0015_50_200	50	200	niskin	152	1.92	1.47		
"May_P03_net_50_200_bc4_4_L4.{1,2}.fastq.gz"	May_P03_0015	May_P03_net_50_200	50	200	net	22.01	1.89	3.22		
"May_P03_0447_0.4_3_bc5_5_L4.{1,2}.fastq.gz"	May_P03_0447	May_P03_0447_0.4_3	0.4	3	niskin	13.49	1.78	5.24		
"May_P03_0447_3_10_bc6_7_L4.{1,2}.fastq.gz"	May_P03_0447	May_P03_0447_3_10	3	10	niskin	16.95	1.58	1.81		
"May_P03_0447_10_50_bc7_6_L4.{1,2}.fastq.gz"	May_P03_0447	May_P03_0447_10_50	10	50	niskin	3.271	1.32	-1.64		
"May_P03_0447_50_200_bc8_8_L4.{1,2}.fastq.gz"	May_P03_0447	May_P03_0447_50_200	50	200	niskin	1.838	3.04	2.11		
"May_P04_0001_0.4_3_bc9_9_L4.{1,2}.fastq.gz"	May_P04_0001	May_P04_0001_0.4_3	0.4	3	niskin	27.47	1.93	4.43		
"May_P04_0001_3_10_bc10_10_L4.{1,2}.fastq.gz"	May_P04_0001	May_P04_0001_3_10	3	10	niskin	63.81	1.85	2.61		
"May_P04_0001_10_50_bc11_10_L4.{1,2}.fastq.gz"	May_P04_0001	May_P04_0001_10_50	10	50	niskin	6.227	1.47	4.91		
"May_P04_0001_50_200_bc12_12_L4.{1,2}.fastq.gz"	May_P04_0001	May_P04_0001_50_200	50	200	niskin	9.721	1.77	1.46		
"May_P04_0015_0.4_3_bc13_13_L4.{1,2}.fastq.gz"	May_P04_0015	May_P04_0015_0.4_3	0.4	3	niskin	17.8	2	29.58		
"May_P04_0015_3_10_bc14_14_L4.{1,2}.fastq.gz"	May_P04_0015	May_P04_0015_3_10	3	10	niskin	83.17	1.94	2.23		
"May_P04_0015_10_50_bc15_15_L4.{1,2}.fastq.gz"	May_P04_0015	May_P04_0015_10_50	10	50	niskin	51.32	1.31	0.98		
"May_P04_0015_50_200_bc16_16_L4.{1,2}.fastq.gz"	May_P04_0015	May_P04_0015_50_200	50	200	niskin	43.24	1.79	2.07		
"May_P04_net_50_200_bc18_18_L4.{1,2}.fastq.gz"	May_P04_0015	May_P04_net_50_200	50	200	net	18.66	1.73	2.88		
"May_P04_0500_0.4_3_bc19_19_L4.{1,2}.fastq.gz"	May_P04_0500	May_P04_0500_0.4_3	0.4	3	niskin	4.964	0.96	-0.49		
"May_P04_0500_3_10_bc20_20_L4.{1,2}.fastq.gz"	May_P04_0500	May_P04_0500_3_10	3	10	niskin	16.86	1.64	8.39		
"Aug_P05_0001_0.4_3_bc1_1_L6.{1,2}.fastq.gz"	Aug_P05_0001	Aug_P05_0001_0.4_3	0.4	3	niskin	114.2	1.9	2.22		
"Aug_P05_0001_3_10_bc2_2_L6.{1,2}.fastq.gz"	Aug_P05_0001	Aug_P05_0001_3_10	3	10	niskin	171.16	1.74	1.4		
"Aug_P05_0001_10_50_bc3_3_L6.{1,2}.fastq.gz"	Aug_P05_0001	Aug_P05_0001_10_50	10	50	niskin	30.24	1.92	1.89		
"Aug_P05_0001_50_200_bc4_4_L6.{1,2}.fastq.gz"	Aug_P05_0001	Aug_P05_0001_50_200	50	200	niskin	196.53	1.9	2.25		
"Aug_P05_0020_0.4_3_bc5_5_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_0020_0.4_3	0.4	3	niskin	105.9	1.8	1.67		
"Aug_P05_0020_3_10_bc6_7_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_0020_3_10	3	10	niskin	76.52	1.88	2.21		
"Aug_P05_0020_10_50_bc7_6_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_0020_10_50	10	50	niskin	NA	NA	NA		
"Aug_P05_net_10_50_bc9_9_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_net_10_50	10	50	net	34.35	1.88	2.17		
"Aug_P05_0020_50_200_bc8_8_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_0020_50_200	50	200	niskin	31.73	1.86	2.02		
"Aug_P05_net_50_200_bc10_11_L6.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_net_50_200	50	200	net	111.98	1.92	2.41		
"Aug_P05_net_50_200_bc10_11_L9.{1,2}.fastq.gz"	Aug_P05_0020	Aug_P05_net_50_200_60deg	50	200	net	111.98	1.92	2.41		60 degrees annealing PCR
"Aug_P05_0213_0.4_3_bc11_10_L6.{1,2}.fastq.gz"	Aug_P05_0213	Aug_P05_0213_0.4_3	0.4	3	niskin	61.24	1.84	2.84		
"Aug_P05_0213_3_10_bc12_12_L6.{1,2}.fastq.gz"	Aug_P05_0213	Aug_P05_0213_3_10	3	10	niskin	38.22	1.57	1.23		
"Aug_P05_0213_10_50_bc13_13_L6.{1,2}.fastq.gz"	Aug_P05_0213	Aug_P05_0213_10_50	10	50	niskin	41.13	1.95	2.47		
"Aug_P05_0213_50_200_bc14_14_L6.{1,2}.fastq.gz"	Aug_P05_0213	Aug_P05_0213_50_200	50	200	niskin	4.4	1.98	3.06		
"Aug_P06_0001_0.4_3_bc15_15_L6.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	103.5	1.82	2.03		
"Aug_P06_0001_0.4_3_bc12_12_L9.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_0.4_3_ext	0.4	3	niskin	144.9	1.81	1.72		replicate DNA extraction
"Aug_P06_0001_0.4_3_bc15_15_L9.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_0.4_3_lib	0.4	3	niskin	103.5	1.82	2.03		replicate library
"Aug_P06_0001_3_10_bc16_16_L6.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_3_10	3	10	niskin	107.4	1.83	1.73		
"Aug_P06_0001_10_50_bc5_5_L9.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_10_50	10	50	niskin	26.11	1.9	2.97		
"Aug_P06_0001_50_200_bc18_18_L6.{1,2}.fastq.gz"	Aug_P06_0001	Aug_P06_0001_50_200	50	200	niskin	21.34	1.87	2.35		
"Aug_P06_0024_0.4_3_bc19_19_L6.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_0.4_3	0.4	3	niskin	124.62	1.89	2.51		
"Aug_P06_0024_0.4_3_bc19_19_L9.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_0.4_3_ext	0.4	3	niskin	134.97	1.89	2.24		replicate DNA extraction
"Aug_P06_0024_3_10_bc20_20_L6.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_3_10	3	10	niskin	62.68	1.89	2.26		
"Aug_P06_0024_3_10_bc20_20_L9.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_3_10_ext	3	10	niskin	64.56	1.88	2.26		replicate DNA extraction
"Aug_P06_0024_10_50_bc1_1_L7.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_10_50	10	50	niskin	49.32	1.98	4.72		
"Aug_P06_net_10_50_bc3_3_L7.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_net_10_50	10	50	net	12.99	1.84	1.36		
"Aug_P06_0024_50_200_bc2_2_L7.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_50_200	50	200	niskin	178.16	1.89	2.74		
"Aug_P06_0024_50_200_bc13_13_L9.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_0024_50_200_bc	50	200	niskin	178.16	1.89	2.74		replicate barcode
"Aug_P06_net_50_200_bc4_4_L7.{1,2}.fastq.gz"	Aug_P06_0024	Aug_P06_net_50_200	50	200	net	25.85	1.82	2.01		
"Aug_P06_0500_0.4_3_bc5_5_L7.{1,2}.fastq.gz"	Aug_P06_0500	Aug_P06_0500_0.4_3	0.4	3	niskin	22.91	1.64	2.24		
"Aug_P06_0500_3_10_bc6_7_L7.{1,2}.fastq.gz"	Aug_P06_0500	Aug_P06_0500_3_10	3	10	niskin	10.69	1.6	1.79		
"Aug_P06_0500_10_50_bc7_6_L7.{1,2}.fastq.gz"	Aug_P06_0500	Aug_P06_0500_10_50	10	50	niskin	10.67	1.76	0.99		
"Aug_P06_0500_50_200_bc8_8_L7.{1,2}.fastq.gz"	Aug_P06_0500	Aug_P06_0500_50_200	50	200	niskin	5.24	1.74	1.44		
"Aug_P06_1000_0.4_3_bc9_9_L7.{1,2}.fastq.gz"	Aug_P06_1000	Aug_P06_1000_0.4_3	0.4	3	niskin	21.98	1.54	0.77		
"Aug_P06_1000_3_10_bc10_11_L7.{1,2}.fastq.gz"	Aug_P06_1000	Aug_P06_1000_3_10	3	10	niskin	10.05	1.4	1.04		
"Aug_P06_1000_10_50_bc11_10_L7.{1,2}.fastq.gz"	Aug_P06_1000	Aug_P06_1000_10_50	10	50	niskin	2.66	1.92	6.28		
"Aug_P06_1000_50_200_bc12_12_L7.{1,2}.fastq.gz"	Aug_P06_1000	Aug_P06_1000_50_200	50	200	niskin	3.03	2.88	-1.9		
"Aug_P07_0001_0.4_3_bc13_13_L7.{1,2}.fastq.gz"	Aug_P07_0001	Aug_P07_0001_0.4_3	0.4	3	niskin	105.81	1.88	2.22		
"Aug_P07_0001_3_10_bc14_14_L7.{1,2}.fastq.gz"	Aug_P07_0001	Aug_P07_0001_3_10	3	10	niskin	44.45	1.63	1.4		
"Aug_P07_0001_10_50_bc15_15_L7.{1,2}.fastq.gz"	Aug_P07_0001	Aug_P07_0001_10_50	10	50	niskin	28.06	1.87	2.61		
"Aug_P07_0001_50_200_bc16_16_L7.{1,2}.fastq.gz"	Aug_P07_0001	Aug_P07_0001_50_200	50	200	niskin	5.63	1.69	-4.4		
"Aug_P07_0025_0.4_3_bc6_7_L9.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_0.4_3	0.4	3	niskin	37.51	1.91	2.61		
"Aug_P07_0025_3_10_bc18_18_L7.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_3_10	3	10	niskin	177.15	1.93	2.44		
"Aug_P07_0025_3_10_bc18_18_L9.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_3_10_60deg	3	10	niskin	177.15	1.93	2.44		60 degrees annealing PCR
"Aug_P07_0025_3_10_bc16_16_L9.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_3_10_bc	3	10	niskin	177.15	1.93	2.44		replicate barcode
"Aug_P07_0025_10_50_bc19_19_L7.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_10_50	10	50	niskin	130.98	1.88	1.96		
"Aug_P07_net_10_50_bc7_6_L5.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_net_10_50	10	50	net	9.39	2.04	2.47		
"Aug_P07_0025_50_200_bc20_20_L7.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_0025_50_200	50	200	niskin	139.89	1.89	2.31		
"Aug_P07_net_50_200_bc8_8_L5.{1,2}.fastq.gz"	Aug_P07_0025	Aug_P07_net_50_200	50	200	net	23.52	1.9	2.62		
"Aug_P07_0500_0.4_3_bc9_9_L5.{1,2}.fastq.gz"	Aug_P07_0500	Aug_P07_0500_0.4_3	0.4	3	niskin	20.46	1.82	3.83		
"Aug_P07_0500_0.4_3_bc9_9_L9.{1,2}.fastq.gz"	Aug_P07_0500	Aug_P07_0500_0.4_3_ext	0.4	3	niskin	6.15	1.9	-18.47		replicate DNA extraction
"Aug_P07_0500_3_10_bc10_11_L5.{1,2}.fastq.gz"	Aug_P07_0500	Aug_P07_0500_3_10	3	10	niskin	13.93	1.81	11.43		
"Aug_P07_0500_10_50_bc11_10_L5.{1,2}.fastq.gz"	Aug_P07_0500	Aug_P07_0500_10_50	10	50	niskin	4.98	1.81	-19.47		
"Aug_P07_0500_50_200_bc12_12_L5.{1,2}.fastq.gz"	Aug_P07_0500	Aug_P07_0500_50_200	50	200	niskin	1.65	2.02	-0.74		
"Aug_P07_1000_0.4_3_bc13_13_L5.{1,2}.fastq.gz"	Aug_P07_1000	Aug_P07_1000_0.4_3	0.4	3	niskin	5.99	1.85	-8.05		
"Aug_P07_1000_3_10_bc14_14_L5.{1,2}.fastq.gz"	Aug_P07_1000	Aug_P07_1000_3_10	3	10	niskin	3.61	2.75	4.71		
"Aug_P07_1000_3_10_bc14_14_L9.{1,2}.fastq.gz"	Aug_P07_1000	Aug_P07_1000_3_10_ext	3	10	niskin	0.87	-1.66	-0.17		replicate DNA extraction
"Aug_P07_1000_10_50_bc15_15_L5.{1,2}.fastq.gz"	Aug_P07_1000	Aug_P07_1000_10_50	10	50	niskin	6.01	1.45	1.23		
"Aug_P07_1000_50_200_bc16_16_L5.{1,2}.fastq.gz"	Aug_P07_1000	Aug_P07_1000_50_200	50	200	niskin	3.76	1.18	5.79		
