Seq	env_sample	month	station	cruise	yyyy-mm-ddThh-mm-ss-sss	Date_mm.dd.yy	Latitude_degrees_north	Longitude_degrees_east	Bot_Depth_m	depth_m	depthbin	Pressure	CTD.S	CTD.T	Potemp090C	CTD.O2	Oxsatperc	CTD.fluo	Turbidity	sigma	percChl_a_10	Chl_a	Chl_a_AVG	Chl_a_10um	Chla10_AVG	Phaeop_AVG	Phaeop_SD	TOC_uM	TOC_ug	TN_uM	TON_uM	TON_ug	TOC.TON	NH4_uM	NO2_uM	NO3.NO2_uM	Total_inorgN_uM	PO4_uM	SiOH4_uM	POC_ug	sd_POC_ug	POC_uM	PON_ug	sd_PON_ug	PON_uM	POC.PON	DOC_uM	DOC_ug	DON_uM	DON_ug	DON.TN	DOC.DON	BP_ug	sd_BP	BR	BCD	Picophytoeukaryotes	Nanophytoplankton	Large_Nanphyto	Small_Nanophyto	Synechococcus	Phaeocystis	Cryptophytes	Dead_phyto	Bacteria	HNA_bacteria	Small_virus	Medium_virus	Large_virus	Total_virus	HNA.LNA_bacteria	smallVirus.Bacteria	HNF	Large_HNF	HNA_Bac_from_HNF_plot	LysoTrack_HNF	Humic_Fl_A_RU	Humic_FL_C_RU	Humic_Fl_M_RU	Aminoacid_Fl_T_RU	Fluorescence_Index	a255_m.1	a300_m.1	a351_m.1	a375_m.1	S300.650nm__um.1	R2_of_slope_fit_300.650	S275.295nm__um.1	S300.450nm__um.1
138	Mar_M02_0001	Mar	M02	MP2	2014-03-16T22-42-00	06.03.14	81.996	20.017	3000	1	epi	NA	34.44	-1.8	NA	NA	NA	NA	NA	NA	NA	0.05401	0.00303	NA	NA	0.064613647	0.005602958	42.4	508.8	9.4	2.3	NA	18.4	0	0.099	7	7.099	0.6	2.8	29.80457928	6.92395746	2.484	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	2	NA	NA	6.006	NA	NA	83	103000	22300	835000	1390000	2.00E+05	2430000	0.27	23	88.08	25.844	2400.316	NA	0.023183598	0.010780075	0.014738006	0.010615209	1.811236259	1.345178	0.412463	0.122285	0.078528	21.3159	0.997014	31.621847	23.587035
139	Mar_M03_0020	Mar	M03	MP2	2014-03-16T22-42-00	07.03.14	82.517	19.386	3000	20	epi	NA	34.4	-1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.5	522	8	2.5	NA	17.2	0.08	0	5.39	5.47	0.6	2.203	63.14716181	6.470568472	5.262	5.585003232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	0	NA	NA	12.519	NA	NA	78	111000	30200	1420000	1570000	312000	3300000	0.37	30	45.591	9.018	1734.97	NA	0.020889248	0.010046745	0.014511688	0.01242795	1.82073223	1.360802	0.400451	0.133303	0.080334	21.69096	0.99714	31.717991	17.074254
141	Mar_M03_0001	Mar	M03	MP2	2014-03-16T22-42-00	07.03.14	82.517	19.386	3000	1	epi	NA	34.355	-1.8	NA	NA	NA	NA	NA	NA	9.186241611	0.04998	0.00203	0.00459	NA	0.060370138	8.77E-05	44.2	530.4	7.9	2.4	NA	18.3	NA	0.1	5.39	5.49	0.534	2.201	91.00538788	29.15994071	7.584	7.65799811	2.293103764	0.55	13.86	36.62	439.39	1.863000135	26.08	0.24	19.65	NA	NA	NA	NA	58	4.008	NA	NA	4.004	NA	NA	267	111000	29700	1190000	1860000	394000	3440000	0.36	31	44.066	9.014	1483.726	NA	0.022241824	0.01027727	0.015023504	0.020674492	1.606521697	1.365724	0.416888	0.12671	0.085256	23.743856	0.997328	31.533414	18.117815
143	Mar_M04_0020	Mar	M04	MP2	2014-03-16T22-42-00	08.03.14	82.382	19.873	3000	20	epi	NA	34.44	-1.7	NA	NA	NA	NA	NA	NA	NA	0.0389	0.01099	NA	NA	0.060011018	0.002933927	60.4	724.8	12	5.8	NA	10.4	0.6	0.11	5.49	6.2	0.562	2.203	94.31159688	20.33724754	7.859	5.355941193	0.983167255	0.38	20.54	52.54	630.49	5.42	75.84	0.45	9.7	0.1	0.02	0.96	1.06	45	2	NA	NA	0	NA	NA	NA	118000	40400	1720000	1460000	213000	3390000	0.52	29	NA	NA	NA	NA	0.020710996	0.009961313	0.017433116	0.012664058	1.993575626	1.413003	0.413501	0.130232	0.088778	22.160408	0.997311	32.853343	20.199499
145	Mar_M04_0001	Mar	M04	MP2	2014-03-16T22-42-00	08.03.14	82.382	19.873	3000	1	epi	NA	34.4	-1.78	NA	NA	NA	NA	NA	NA	NA	0.07296	0.03111	NA	NA	0.064629147	0.003728616	65.4	784.8	12.8	7.1	NA	9.2	0.09	0.11	5.49	5.692	0.534	2.201	57.12574592	11.4064625	4.76	11.8664744	2.721656639	0.85	5.62	60.64	727.67	6.26	87.65	0.49	9.69	0.05	NA	0.65	0.7	34	1	NA	NA	10.02	NA	NA	NA	133000	37200	1710000	1680000	299000	3690000	0.39	28	NA	NA	NA	NA	0.020359335	0.010221813	0.017667119	0.017292523	1.693189202	1.402121	0.425649	0.11935	0.077896	23.685756	0.996553	32.90139	21.152564
146	Mar_M05_0120	Mar	M05	MP2	2014-03-16T22-42-00	08.03.14	82.553	21.034	3000	120	epi	NA	34.7	0.8	NA	NA	NA	NA	NA	NA	NA	0.03623	0.00133	NA	NA	0.054674648	0.001434083	57.9	694.8	12.6	1.5	NA	39.7	0.24	0	10.9	11.14	0.831	4.6	50.97890674	6.67870937	4.248	5.443903166	1.040783009	0.39	10.93	53.65	643.82	1.07	15	0.09	50.09	0.02	0.02	0.35	0.37	51	2	NA	NA	10.511	NA	NA	208	130000	33600	1470000	1340000	216000	3020000	0.35	23	95.143	24.537	1828.242	NA	0.023888235	0.011590618	0.025869726	0.021586011	1.848302275	1.354525	0.417204	0.129329	0.092481	22.414141	0.996999	31.265821	19.5505
147	Mar_M05_0020	Mar	M05	MP2	2014-03-16T22-42-00	08.03.14	82.553	21.034	3000	20	epi	NA	34.4	-1.7	NA	NA	NA	NA	NA	NA	NA	0.05686	0.00087	NA	NA	0.045458407	0.004374401	72.1	865.2	11.1	4.4	NA	16.2	0.28	0.09	6.286	6.656	0.571	2.5	62.22342767	15.0908748	5.185	6.484068201	3.383511396	0.46	11.2	66.91	802.98	3.98	55.73	0.36	16.81	0.03	0.03	0.46	0.49	53	1	NA	NA	9.014	NA	NA	126	132000	35300	1680000	1700000	264000	3650000	0.37	28	90.135	24.036	1785.178	NA	0.024209548	0.011825385	0.026771756	0.024252411	1.943199705	1.395302	0.421133	0.126349	0.077986	22.446262	0.997412	31.431676	22.369328
158	Mar_M06_0020	Mar	M06	MP2	2014-03-16T22-42-00	09.03.14	80.856	15.083	3000	20	epi	NA	35.025	3.2	NA	NA	NA	NA	NA	NA	NA	0.02127	0.00189	NA	NA	0.045458407	0.004374401	54.1	649.2	16.5	6	NA	9.1	0	0.0086	10.52	10.524	0.7535	4.2172	56.61984121	2.262976196	4.718	5.636206418	1.360420445	0.4	11.72	49.38	592.58	5.57	78.03	0.34	8.86	0.03	0.03	0.43	0.46	7	2	NA	NA	31.532	NA	NA	149	124000	38300	1580000	1250000	207000	3030000	0.45	25	69.639	12.024	2904.309	NA	0.022733093	0.010602441	0.018454022	0.016473434	1.552468601	1.267418	0.383066	0.115918	0.058343	22.006749	0.996872	31.825075	29.207461
255	May_P01_0417	May	P01	MP3	2014-05-18T23-16-00	18.05.14	79.975	10.709	376	365	meso	369.31	35.1	2.3	2.27	5.99	7.57	0.44	0.19	28.03	NA	0.821	NA	0.435	NA	NA	NA	70.1	841.2	13.4	4.1	56.7	17.3	0.05	NA	9.3	9.35	0.7	4.4	78.05	16.75	6.5	11.67	0.8	0.83	7.81	63.6	763.15	3.22	45.03	0.24	19.77	NA	NA	NA	NA	3419.679	528.112	46.185	481.927	1347.39	431.727	12.048	NA	542000	108000	1100000	219000	177000	1490000	0.25	2.03	40.161	30.12	12363.454	NA	0.023542472	0.010603062	0.019178756	0.026847418	1.600162977	1.436395	1.130096	0.125988	0.093746	NA	0.952088	0.518071	19.683984
262	May_P01_0020	May	P01	MP3	2014-05-19T00-35-00	18.05.14	79.973	10.694	379	20	epi	19.15	34.89	2.07	2.07	6.37	7.63	4.17	0.28	27.87	NA	6.861	NA	5.207	NA	NA	NA	80.8	969.6	11.8	4.3	59.5	19	0.25	NA	7.3	7.55	0.5	2.1	235.4	17.26	19.62	44.31	4.04	3.17	6.2	61.18	734.2	1.08	15.19	0.09	56.39	1.08	0.1	3.85	4.92	4779.116	3497.992	584.337	2913.655	154.618	2592.369	10.04	NA	823000	232000	2220000	188000	255000	2660000	0.39	2.7	95.679	135.031	16960.648	NA	0.023212813	0.010536925	0.018852978	0.027083859	1.615691387	1.380265	1.120026	0.106706	0.07907	NA	0.96395	-0.353271	19.698187
265	May_P01_0001	May	P01	MP3	2014-05-19T00-35-00	18.05.14	79.973	10.694	379	1	epi	1.92	34.52	1.01	1.01	6.71	7.86	5.04	0.49	27.66	NA	11.561	NA	6.77	NA	NA	NA	93.9	1126.8	10.5	5.7	80.2	16.4	0.07	NA	4.7	4.77	0.4	1.9	389.04	33.88	32.42	75.35	8.33	5.38	6.02	61.48	737.76	0.35	4.87	0.03	176.61	1.29	0.08	4.28	5.58	5676.707	4303.213	961.847	3341.366	144.578	3423.695	58.233	NA	746000	253000	3130000	149000	292000	3580000	0.51	4.2	80.123	448.382	20608.629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
278	May_P03_0447	May	P03	MP3	2014-05-23T06-38-00	23.05.14	79.718	9.457	386	375	meso	379.17	35.11	2.37	2.34	5.91	7.56	0.15	0.21	28.03	NA	0.268	NA	0.107	NA	NA	NA	56	672	14.3	3.9	54.6	14.4	0.59	NA	9.81	10.4	0.69	4.52	40.64	1.65	3.39	6.5	1.88	0.46	7.29	52.61	631.36	3.44	48.1	0.24	15.31	NA	NA	NA	NA	3412.475	175.05	8.048	167.002	44.266	44.266	12.072	NA	408000	43900	486000	168000	64500	719000	0.12	1.19	68.136	3.006	7172.345	NA	0.019082999	0.010312297	0.018953702	0.023262629	1.665888789	1.353306	0.777556	0.070535	0.047505	NA	0.974304	6.990137	33.772299
285	May_P03_0015	May	P03	MP3	2014-05-23T09-11-00	23.05.14	79.728	9.346	402	20	epi	19.92	34.51	0.9	0.89	7.05	7.88	9.27	0.43	27.66	NA	11.228	NA	7.171	NA	NA	NA	107.9	1294.8	10.2	5.2	73.2	20.6	0.37	NA	4.6	4.97	0.41	1.15	425.16	19.48	35.43	80.19	4.17	5.73	6.19	72.47	869.64	-0.5	NA	-0.05	-145.6	0.68	0.12	2.94	3.62	5500	7214.859	795.181	6419.678	142.57	5500	28.112	NA	1260000	354000	3520000	76900	652000	4250000	0.39	2.8	261.171	1335.131	28024.653	NA	0.017527981	0.008772718	0.015701182	0.013982572	1.712691303	1.279068	0.59738	0.109144	0.079205	NA	0.976894	14.35709	19.617284
288	May_P03_0001	May	P03	MP3	2014-05-23T09-11-00	23.05.14	79.728	9.346	402	1	epi	2.45	34.07	-0.34	-0.34	7.54	8.17	4.53	0.54	27.37	NA	13.46	NA	8.139	NA	NA	NA	95.9	1150.8	8.2	7.3	102.5	13.1	0.17	NA	0.71	0.88	0.06	0.86	627.07	5.43	52.26	103.17	1.93	7.37	7.09	43.64	523.73	-0.05	NA	-0.01	-880.57	1.2	0.04	4.11	5.31	5943.662	8265.594	945.674	7319.92	185.111	7265.594	28.169	NA	1480000	545000	3920000	154000	746000	4820000	0.58	2.65	299.461	1708.237	44031.563	NA	0.017026599	0.009027522	0.015961785	0.022872132	1.77384037	1.140572	0.332219	0.078889	0.058162	NA	0.989078	30.097743	22.430798
289	May_P04_1000	May	P04	MP3	2014-05-25T07-06-00	24.05.14	79.771	6.27	1032	1000	meso	1013.81	34.93	-0.81	-0.85	5.42	8.23	0.04	0.16	28.09	NA	0.012	NA	0.006	NA	NA	NA	56.1	673.2	18	3.9	54	14.5	0.23	NA	13.91	14.14	1.06	10.78	29.66	0.53	2.47	3.71	1.28	0.26	9.33	53.63	643.54	3.6	50.33	0.2	14.92	NA	NA	NA	NA	60.12	10.02	2.004	8.016	0	18.036	6.012	NA	48700	10900	209000	147000	46900	403000	0.29	4.3	22.342	3.082	1161.017	NA	0.022888733	0.01373619	0.019460155	0.016861102	1.807789001	1.069856	0.44344	0.054233	0.017385	NA	0.981155	17.096599	26.398509
291	May_P04_0500	May	P04	MP3	2014-05-25T07-06-00	24.05.14	79.771	6.27	1032	500	meso	506.27	35.09	2.7	2.67	5.73	7.5	0.05	0.06	27.99	NA	0.037	NA	0.014	NA	NA	NA	72.8	873.6	15	3.9	54.2	18.8	0.16	NA	10.97	11.13	0.83	4.28	35.36	0.54	2.95	5.19	0.26	0.37	7.96	69.85	838.24	3.5	48.99	0.23	19.96	NA	NA	NA	NA	242.485	66.132	NA	66.132	22.044	26.052	0	NA	137000	21900	716000	224000	119000	1060000	0.19	5.21	41.603	6.163	3500	NA	0.018455386	0.010083861	0.017141286	0.014722266	1.762716366	1.175569	0.360307	0.095462	0.044796	25.832889	0.995505	29.139127	31.917584
298	May_P04_0015	May	P04	MP3	2014-05-25T10-48-00	24.05.14	79.78	6.171	1048	20	epi	20.22	34.58	1.05	1.05	6.58	7.85	11.58	0.45	27.7	NA	8.977	NA	6.487	NA	NA	NA	81	972	12.2	5.5	77.6	14.6	0.29	NA	6.37	6.66	0.4	NA	429.93	4.52	35.83	68.87	1.17	4.92	7.28	45.17	542.07	0.62	8.69	0.05	72.78	1.3	0.32	4.29	5.58	4643.287	8140.281	691.383	7448.898	358.717	7270.541	34.068	NA	1510000	471000	4690000	134000	437000	5260000	0.45	3.11	992.296	1710.324	44864.407	NA	0.016371931	0.00875173	0.015504645	0.016174997	1.711249424	1.175027	0.355159	0.090314	0.039648	28.383041	0.9941	29.781695	28.461528
301	May_P04_0001	May	P04	MP3	2014-05-25T10-48-00	24.05.14	79.78	6.171	1048	1	epi	2.68	33.74	-0.97	-0.97	8.04	8.33	2.17	0.52	27.13	NA	5.545	NA	2.976	NA	NA	NA	73.7	884.4	5.7	5.4	75.6	13.6	0.3	NA	0	0.3	0.02	NA	533.09	47.47	44.42	61.73	4.8	4.41	10.08	29.28	351.31	0.99	13.87	0.17	29.54	2.99	0.1	6.97	9.96	5302.605	3148.297	290.581	2857.716	174.349	2434.87	44.088	NA	1750000	877000	5350000	232000	619000	6200000	1.01	3.06	362.375	359.291	77610.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
461	Aug_P05_0213	Aug	P05	MP4	2014-08-09T06-24-00	08.08.14	79.9695	10.725	338	200	meso	202.298	35.1228	4.2	4.0098	5.51472	7.25347	0.1839	0.304	27.8814	NA	0.17	NA	0.013	NA	NA	NA	75.3	903.6	14.1	4	56.1	18.8	1.26	NA	10.09	10.09	0.72	4.75	57.33	4.55	4.78	9.29	1.24	0.66	7.2	70.52	846.27	3.35	46.85	0.24	21.07	0.08	0.05	0.87	0.95	724.9	220.884	10.04	211	98.394	NA	2.008	76	482000	122000	4660000	1680000	219000	6570000	0.34	9.68	152.006	30.093	7985.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
467	Aug_P05_0020	Aug	P05	MP4	2014-08-09T08-49-00	09.08.14	79.9713	10.752	337	20	epi	20.15	34.9527	5.785	5.7834	5.8583	6.95919	2.1328	NA	27.5426	NA	2.435	NA	0.242	NA	NA	NA	66.3	795.6	13.7	5.6	78.1	11.9	0.8	NA	7.32	8.12	0.55	2.12	210.12	17.47	17.51	44.71	5.48	3.19	5.48	48.79	585.48	2.39	33.41	0.17	20.44	1.32	0.12	4.34	5.66	9987.952	4232.932	335.341	3898	2002.008	NA	656.627	48	855000	240000	8240000	4230000	923000	13400000	0.39	9.64	685.428	199.692	20329.992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
470	Aug_P05_0001	Aug	P05	MP4	2014-08-09T08-49-00	09.08.14	79.9713	10.752	337	1	epi	2.74	34.863	6.0268	6.0266	6.00667	6.92347	1.2395	0.364	27.441	NA	3.308	NA	0.667	NA	NA	NA	102.1	1225.2	12.6	7.8	108.8	13.1	0.15	NA	4.68	4.83	0.39	1.88	315.67	14.24	26.31	63.28	2.79	4.52	5.82	75.79	909.53	3.25	45.5	0.26	23.32	1.89	0.13	5.33	7.22	17247.485	4668.008	478.873	4189	7281.69	NA	758.551	48	NA	NA	NA	NA	NA	NA	NA	NA	1017.747	364.969	31645.833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
471	Aug_P06_1000	Aug	P06	MP4	2014-08-12T04-51-00	12.08.14	80.8595	15.0022	1170	1000	meso	1012.93	34.9315	-0.4575	-0.4991	5.53454	8.14758	0.037378	0.061	28.0742	NA	0.334	NA	0.096	NA	NA	NA	58.2	698.4	21.2	12.7	177.1	4.6	0	NA	8.55	8.55	0.78	5.7	43.82	0.99	3.65	7.35	2.07	0.53	6.95	54.55	654.58	12.12	169.75	0.57	4.5	NA	NA	NA	NA	1329.317	588.353	74.297	514	148.594	NA	28.112	28	85300	22100	1460000	1080000	220000	2750000	0.35	17.09	13.878	3.084	1290.671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
473	Aug_P06_0500	Aug	P06	MP4	2014-08-12T04-51-00	12.08.14	80.8595	15.0022	1170	500	meso	506.287	35.0381	2.1642	2.1347	5.65085	7.60303	0.037378	0.061	27.9889	NA	0.347	NA	0.103	NA	NA	NA	62.1	745.2	20.1	8.8	122.5	7.1	0.44	NA	11.35	11.35	0.87	5.03	49.33	4.79	4.11	7.26	0.81	0.52	7.93	57.99	695.87	8.23	115.24	0.41	7.04	NA	NA	NA	NA	1208.835	371.486	46.185	325	114.458	NA	34.137	6	155000	49200	1210000	1640000	338000	3200000	0.47	7.84	29.298	3.855	2111.796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
480	Aug_P06_0024	Aug	P06	MP4	2014-08-12T04-51-00	12.08.14	80.8595	15.0022	1170	25	epi	24.915	34.192	3.0055	3.004	6.90505	7.48544	2.5626	0.271	27.2396	NA	0.198	NA	0.049	NA	NA	NA	98.8	1185.6	10.9	NA	NA	9.1	0.1	NA	NA	0.1	NA	NA	250.2	6.23	20.85	44.39	1.09	3.17	6.58	77.95	935.4	NA	NA	0	NA	2.26	0.03	5.93	8.19	1209.256	1529.175	402.414	1127	494.97	NA	34.205	40	1600000	551000	4510000	6960000	1850000	13300000	0.53	2.83	727.833	242.868	34140.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
