file_name	seq_event	accno	env_sample	sample_sizefract	fraction_min	fraction_max	collection_method	dna_concentration	260_280	260_230	seq_method	n_reads	comment
May_P03_0015_3_10_bc20_20_L3.1.fastq.gz	May_P03_0015_3_10_bc20_20_L3	ERS5337661	May_P03_0015	May_P03_0015_3_10	3	10	niskin	68.71	1.97	2.84	hiseq	751187	
May_P03_0015_10_50_bc1_1_L4.1.fastq.gz	May_P03_0015_10_50_bc1_1_L4	ERS5337687	May_P03_0015	May_P03_0015_10_50	10	50	niskin	324.6	1.99	0.88	hiseq	654146	
May_P03_0015_50_200_bc2_2_L4.1.fastq.gz	May_P03_0015_50_200_bc2_2_L4	ERS5337713	May_P03_0015	May_P03_0015_50_200	50	200	niskin	152	1.92	1.47	hiseq	852640	
38_MP3_NP_63_euk_S38_L001_R1_001.fastq.gz	38_MP3_NP_63_euk_S38	ERS5051903	May_P03_0447	May_P03_0447_0.4_3	0.4	3	niskin	13.49	1.78	5.24	miseq	51594	
May_P03_0447_0.4_3_bc5_5_L4.1.fastq.gz	May_P03_0447_0.4_3_bc5_5_L4	ERS5337634	May_P03_0447	May_P03_0447_0.4_3	0.4	3	niskin	13.49	1.78	5.24	hiseq	18405	
May_P03_0447_3_10_bc6_7_L4.1.fastq.gz	May_P03_0447_3_10_bc6_7_L4	ERS5337660	May_P03_0447	May_P03_0447_3_10	3	10	niskin	16.95	1.58	1.81	hiseq	77223	
May_P03_0447_10_50_bc7_6_L4.1.fastq.gz	May_P03_0447_10_50_bc7_6_L4	ERS5337686	May_P03_0447	May_P03_0447_10_50	10	50	niskin	3.271	1.32	-1.64	hiseq	86974	
May_P03_0447_50_200_bc8_8_L4.1.fastq.gz	May_P03_0447_50_200_bc8_8_L4	ERS5337712	May_P03_0447	May_P03_0447_50_200	50	200	niskin	1.838	3.04	2.11	hiseq	32173	
May_P03_net_10_50_bc3_3_L4.1.fastq.gz	May_P03_net_10_50_bc3_3_L4	ERS5337756	May_P03_0015	May_P03_net_10_50	10	50	net	13.2	1.95	2.24	hiseq	756382	
May_P03_net_50_200_bc4_4_L4.1.fastq.gz	May_P03_net_50_200_bc4_4_L4	ERS5337755	May_P03_0015	May_P03_net_50_200	50	200	net	22.01	1.89	3.22	hiseq	539217	
39_MP3_NP_118_euk_S39_L001_R1_001.fastq.gz	39_MP3_NP_118_euk_S39	ERS5051907	May_P04_0001	May_P04_0001_0.4_3	0.4	3	niskin	27.47	1.93	4.43	miseq	152088	
May_P04_0001_0.4_3_bc9_9_L4.1.fastq.gz	May_P04_0001_0.4_3_bc9_9_L4	ERS5337640	May_P04_0001	May_P04_0001_0.4_3	0.4	3	niskin	27.47	1.93	4.43	hiseq	34207	
40_MP3_NP_114_euk_S40_L001_R1_001.fastq.gz	40_MP3_NP_114_euk_S40	ERS5051915	May_P04_0001	May_P04_0001_3_10	3	10	niskin	63.81	1.85	2.61	miseq	97215	
May_P04_0001_3_10_bc10_10_L4.1.fastq.gz	May_P04_0001_3_10_bc10_10_L4	ERS5337666	May_P04_0001	May_P04_0001_3_10	3	10	niskin	63.81	1.85	2.61	hiseq	44000	
May_P04_0001_10_50_bc11_10_L4.1.fastq.gz	May_P04_0001_10_50_bc11_10_L4	ERS5337692	May_P04_0001	May_P04_0001_10_50	10	50	niskin	6.227	1.47	4.91	hiseq	1089065	
May_P04_0001_50_200_bc12_12_L4.1.fastq.gz	May_P04_0001_50_200_bc12_12_L4	ERS5337718	May_P04_0001	May_P04_0001_50_200	50	200	niskin	9.721	1.77	1.46	hiseq	374108	
May_P04_0015_0.4_3_bc13_13_L4.1.fastq.gz	May_P04_0015_0.4_3_bc13_13_L4	ERS5337639	May_P04_0015	May_P04_0015_0.4_3	0.4	3	niskin	17.8	2	29.58	hiseq	619023	
May_P04_0015_3_10_bc14_14_L4.1.fastq.gz	May_P04_0015_3_10_bc14_14_L4	ERS5337665	May_P04_0015	May_P04_0015_3_10	3	10	niskin	83.17	1.94	2.23	hiseq	62934	
May_P04_0015_10_50_bc15_15_L4.1.fastq.gz	May_P04_0015_10_50_bc15_15_L4	ERS5337691	May_P04_0015	May_P04_0015_10_50	10	50	niskin	51.32	1.31	0.98	hiseq	633399	
May_P04_0015_50_200_bc16_16_L4.1.fastq.gz	May_P04_0015_50_200_bc16_16_L4	ERS5337717	May_P04_0015	May_P04_0015_50_200	50	200	niskin	43.24	1.79	2.07	hiseq	670612	
41_MP3_NP_111_euk_S41_L001_R1_001.fastq.gz	41_MP3_NP_111_euk_S41	ERS5051906	May_P04_0500	May_P04_0500_0.4_3	0.4	3	niskin	4.964	0.96	-0.49	miseq	114255	
May_P04_0500_0.4_3_bc19_19_L4.1.fastq.gz	May_P04_0500_0.4_3_bc19_19_L4	ERS5337638	May_P04_0500	May_P04_0500_0.4_3	0.4	3	niskin	4.964	0.96	-0.49	hiseq	1159	
42_MP3_NP_107_euk_S42_L001_R1_001.fastq.gz	42_MP3_NP_107_euk_S42	ERS5051914	May_P04_0500	May_P04_0500_3_10	3	10	niskin	16.86	1.64	8.39	miseq	83865	
May_P04_0500_3_10_bc20_20_L4.1.fastq.gz	May_P04_0500_3_10_bc20_20_L4	ERS5337664	May_P04_0500	May_P04_0500_3_10	3	10	niskin	16.86	1.64	8.39	hiseq	5293	
May_P04_0500_10_50_bc1_1_L5.1.fastq.gz	May_P04_0500_10_50_bc1_1_L5	ERS5337690	May_P04_0500	May_P04_0500_10_50	10	50	niskin	12.01	1.39	0.73	hiseq	408471	
May_P04_0500_50_200_bc2_2_L5.1.fastq.gz	May_P04_0500_50_200_bc2_2_L5	ERS5337716	May_P04_0500	May_P04_0500_50_200	50	200	niskin	2.751	1.6	10.31	hiseq	310959	
May_P04_1000_0.4_3_bc3_3_L5.1.fastq.gz	May_P04_1000_0.4_3_bc3_3_L5	ERS5337637	May_P04_1000	May_P04_1000_0.4_3	0.4	3	niskin	6.514	1.93	4.15	hiseq	144194	
43_MP3_NP_99_euk_S43_L001_R1_001.fastq.gz	43_MP3_NP_99_euk_S43	ERS5051913	May_P04_1000	May_P04_1000_3_10	3	10	niskin	9.669	1.79	-1.77	miseq	106727	
May_P04_1000_3_10_bc4_4_L5.1.fastq.gz	May_P04_1000_3_10_bc4_4_L5	ERS5337663	May_P04_1000	May_P04_1000_3_10	3	10	niskin	9.669	1.79	-1.77	hiseq	9403	
May_P04_1000_10_50_bc5_5_L5.1.fastq.gz	May_P04_1000_10_50_bc5_5_L5	ERS5337689	May_P04_1000	May_P04_1000_10_50	10	50	niskin	6.668	1.31	0.61	hiseq	939434	
May_P04_1000_50_200_bc6_7_L5.1.fastq.gz	May_P04_1000_50_200_bc6_7_L5	ERS5337715	May_P04_1000	May_P04_1000_50_200	50	200	niskin	1.724	10.77	8.77	hiseq	489249	
May_P04_net_50_200_bc18_18_L4.1.fastq.gz	May_P04_net_50_200_bc18_18_L4	ERS5337757	May_P04_0015	May_P04_net_50_200	50	200	net	18.66	1.73	2.88	hiseq	669052	
Aug_P05_0001_0.4_3_bc1_1_L6.1.fastq.gz	Aug_P05_0001_0.4_3_bc1_1_L6	ERS5337643	Aug_P05_0001	Aug_P05_0001_0.4_3	0.4	3	niskin	114.2	1.9	2.22	hiseq	153886	
Aug_P05_0001_3_10_bc2_2_L6.1.fastq.gz	Aug_P05_0001_3_10_bc2_2_L6	ERS5337669	Aug_P05_0001	Aug_P05_0001_3_10	3	10	niskin	171.16	1.74	1.4	hiseq	240419	
Aug_P05_0001_10_50_bc3_3_L6.1.fastq.gz	Aug_P05_0001_10_50_bc3_3_L6	ERS5337695	Aug_P05_0001	Aug_P05_0001_10_50	10	50	niskin	30.24	1.92	1.89	hiseq	935284	
44_MP4_MI_3_euk_S44_L001_R1_001.fastq.gz	44_MP4_MI_3_euk_S44	ERS5051923	Aug_P05_0001	Aug_P05_0001_50_200	50	200	niskin	196.53	1.9	2.25	miseq	115447	
Aug_P05_0001_50_200_bc4_4_L6.1.fastq.gz	Aug_P05_0001_50_200_bc4_4_L6	ERS5337721	Aug_P05_0001	Aug_P05_0001_50_200	50	200	niskin	196.53	1.9	2.25	hiseq	22876	
Aug_P05_0020_0.4_3_bc5_5_L6.1.fastq.gz	Aug_P05_0020_0.4_3_bc5_5_L6	ERS5337642	Aug_P05_0020	Aug_P05_0020_0.4_3	0.4	3	niskin	105.9	1.8	1.67	hiseq	343064	
Aug_P05_0020_3_10_bc6_7_L6.1.fastq.gz	Aug_P05_0020_3_10_bc6_7_L6	ERS5337668	Aug_P05_0020	Aug_P05_0020_3_10	3	10	niskin	76.52	1.88	2.21	hiseq	151653	
Aug_P05_0020_10_50_bc7_6_L6.1.fastq.gz	Aug_P05_0020_10_50_bc7_6_L6	ERS5337694	Aug_P05_0020	Aug_P05_0020_10_50	10	50	niskin	NA	NA	NA	hiseq	285979	
Aug_P05_0020_50_200_bc8_8_L6.1.fastq.gz	Aug_P05_0020_50_200_bc8_8_L6	ERS5337720	Aug_P05_0020	Aug_P05_0020_50_200	50	200	niskin	31.73	1.86	2.02	hiseq	482056	
Aug_P05_0213_0.4_3_bc11_10_L6.1.fastq.gz	Aug_P05_0213_0.4_3_bc11_10_L6	ERS5337641	Aug_P05_0213	Aug_P05_0213_0.4_3	0.4	3	niskin	61.24	1.84	2.84	hiseq	99608	
Aug_P05_0213_3_10_bc12_12_L6.1.fastq.gz	Aug_P05_0213_3_10_bc12_12_L6	ERS5337667	Aug_P05_0213	Aug_P05_0213_3_10	3	10	niskin	38.22	1.57	1.23	hiseq	213822	
Aug_P05_0213_10_50_bc13_13_L6.1.fastq.gz	Aug_P05_0213_10_50_bc13_13_L6	ERS5337693	Aug_P05_0213	Aug_P05_0213_10_50	10	50	niskin	41.13	1.95	2.47	hiseq	61729	
45_MP4_MI_16_euk_S45_L001_R1_001.fastq.gz	45_MP4_MI_16_euk_S45	ERS5051922	Aug_P05_0213	Aug_P05_0213_50_200	50	200	niskin	4.4	1.98	3.06	miseq	104839	
Aug_P05_0213_50_200_bc14_14_L6.1.fastq.gz	Aug_P05_0213_50_200_bc14_14_L6	ERS5337719	Aug_P05_0213	Aug_P05_0213_50_200	50	200	niskin	4.4	1.98	3.06	hiseq	51615	
Aug_P05_net_10_50_bc9_9_L6.1.fastq.gz	Aug_P05_net_10_50_bc9_9_L6	ERS5337759	Aug_P05_0020	Aug_P05_net_10_50	10	50	net	34.35	1.88	2.17	hiseq	146395	
Aug_P05_net_50_200_bc10_11_L6.1.fastq.gz	Aug_P05_net_50_200_bc10_11_L6	ERS5337768	Aug_P05_0020	Aug_P05_net_50_200	50	200	net	111.98	1.92	2.41	hiseq	171444	
Aug_P05_net_50_200_bc10_11_L9.1.fastq.gz	Aug_P05_net_50_200_bc10_11_L9	ERS5337758	Aug_P05_0020	Aug_P05_net_50_200	50	200	net	111.98	1.92	2.41	hiseq	220332	60 degrees annealing PCR
46_MP4_NP_30_euk_S46_L001_R1_001.fastq.gz	46_MP4_NP_30_euk_S46	ERS5051909	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	103.5	1.82	2.03	miseq	58281	
Aug_P06_0001_0.4_3_bc15_15_L6.1.fastq.gz	Aug_P06_0001_0.4_3_bc15_15_L6	ERS5337647	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	103.5	1.82	2.03	hiseq	81531	
Aug_P06_0001_0.4_3_bc12_12_L9.1.fastq.gz	Aug_P06_0001_0.4_3_bc12_12_L9	ERS5337777	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	144.9	1.81	1.72	hiseq	38847	replicate DNA extraction
Aug_P06_0001_0.4_3_bc15_15_L9.1.fastq.gz	Aug_P06_0001_0.4_3_bc15_15_L9	ERS5337776	Aug_P06_0001	Aug_P06_0001_0.4_3	0.4	3	niskin	103.5	1.82	2.03	hiseq	48714	replicate library
Aug_P06_0001_3_10_bc16_16_L6.1.fastq.gz	Aug_P06_0001_3_10_bc16_16_L6	ERS5337673	Aug_P06_0001	Aug_P06_0001_3_10	3	10	niskin	107.4	1.83	1.73	hiseq	425022	
Aug_P06_0001_10_50_bc5_5_L9.1.fastq.gz	Aug_P06_0001_10_50_bc5_5_L9	ERS5337699	Aug_P06_0001	Aug_P06_0001_10_50	10	50	niskin	26.11	1.9	2.97	hiseq	456299	
Aug_P06_0001_50_200_bc18_18_L6.1.fastq.gz	Aug_P06_0001_50_200_bc18_18_L6	ERS5337725	Aug_P06_0001	Aug_P06_0001_50_200	50	200	niskin	21.34	1.87	2.35	hiseq	195109	
48_MP4_NP_38_euk_S48_L001_R1_001.fastq.gz	48_MP4_NP_38_euk_S48	ERS5051908	Aug_P06_0024	Aug_P06_0024_0.4_3	0.4	3	niskin	124.62	1.89	2.51	miseq	131930	
